,...1,valid,incent_heads,incent_guess,country_guess,gender,age,residence,heads,integ_1,integ_2,integ_3,integ_4,integ_5,integ_6,integ_7,integ_8,integ_9,integ_10,integ_11,integ_12,integ_13,integ_14,integ_15,guess,nationality,relig_service,nat2,quiz_1_correct,quiz_2_correct,quiz_3_correct,quiz_4_correct,quiz_5_correct,quiz_6_correct,marital,n_children,income,relig_import,educ_age,bad_behav_1,bad_behav_2,bad_behav_3,bad_behav_4,quiz_score
68,68,1,3,yes,China,1.0,4.0,US,False,4.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,50.0,US,3.0,American,0.0,0,1.0,0,1,1,,,,,,,,,,1
69,69,1,3,yes,Russia,1.0,2.0,US,True,4.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,95.0,US,3.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
70,70,1,5,no,Switzerland,1.0,2.0,US,True,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,100.0,US,3.0,American,0.0,1,0.0,0,1,0,,,,,,,,,,1
71,71,1,3,yes,Russia,1.0,2.0,US,False,4.0,3.0,5.0,1.0,4.0,2.0,5.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,4.0,50.0,US,2.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
72,72,1,3,yes,Turkey,1.0,2.0,US,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,85.0,US,2.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
73,73,1,5,no,China,1.0,2.0,US,True,4.0,3.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,50.0,US,3.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
74,74,1,3,no,Japan,1.0,2.0,US,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,70.0,US,3.0,American,0.0,0,1.0,1,1,1,,,,,,,,,,2
75,75,1,5,no,China,1.0,2.0,US,False,4.0,4.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,48.0,US,3.0,American,0.0,0,1.0,1,1,1,,,,,,,,,,2
76,76,1,3,no,İsviçre,1.0,4.0,Turkey,False,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,60.0,Turkey,3.0,Turkey,0.0,0,0.0,0,0,0,,,,,,,,,,0
77,77,1,5,yes,Brezilya,2.0,4.0,Turkey,False,3.0,3.0,4.0,1.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,72.0,Turkey,2.0,Turkey,1.0,1,1.0,1,0,1,,,,,,,,,,3
