,valid,incent_heads,incent_guess,guess_country,gender,age,residence,heads,integ_1,integ_2,integ_3,integ_4,integ_5,integ_6,integ_7,integ_8,integ_9,integ_10,integ_11,integ_12,integ_13,integ_14,integ_15,guess,nationality,relig_service,nat2,quiz_1_correct,quiz_2_correct,quiz_3_correct,quiz_4_correct,quiz_5_correct,quiz_6_correct,marital,n_children,income,relig_import,educ_age,bad_behav_1,bad_behav_2,bad_behav_3,bad_behav_4,quiz_score,year,gle_rgdpc
827,1,3,no,Argentina,2,3,Portugal,FALSE,4,4,3,2,3,3,2,4,4,4,4,4,3,2,4,,Portugal,3,FL_241,0,0,0,0,0,0,4,3,nao respondo,3,4,1,2,1,2,0,2011,20946.4
828,1,3,yes,Forenede Kongerige Storbritannien og Nordirland,2,4,Denmark,FALSE,4,4,2,2,4,4,3,4,4,4,4,4,4,3,4,1,Denmark,3,,0,0,0,0,1,0,2,1,12000,3,5,2,2,2,2,0,2011,32998.488
829,1,5,yes,포르투갈,2,5,South Korea,TRUE,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,South Korea,3,,1,0,1,1,1,0,2,3,820만원,4,7,2,2,2,1,1,2011,29271.51
830,1,3,no,República da Coreia,2,4,Portugal,TRUE,4,4,2,2,3,4,4,4,4,4,4,4,4,3,4,,Portugal,3,FL_238,0,0,0,0,0,0,4,2,400,3,7,2,2,1,2,0,2011,20946.4
831,1,3,yes,남아프리카,1,2,South Korea,TRUE,4,4,4,2,5,4,4,4,4,4,4,4,4,2,4,1,South Korea,3,,1,1,0,0,0,0,1,1,2800000,4,5,2,2,2,2,1,2011,29271.51
832,1,5,no,India,2,4,Argentina,FALSE,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,,Argentina,2,,0,0,0,0,0,0,2,3,11000,2,3,2,2,1,2,0,2011,13322.81
833,1,3,no,Argentina,2,3,Portugal,FALSE,4,4,5,2,3,4,5,4,4,4,4,4,4,3,3,,Portugal,2,FL_241,0,0,1,0,0,1,2,1,"1,000€",3,7,2,2,1,2,1,2011,20946.4
834,1,5,yes,United Kingdom of Great Britain and Northern Ireland,1,6,UK,TRUE,4,4,4,3,4,4,4,4,4,4,4,4,4,2,3,1,UK,2,,0,0,0,0,0,0,2,3,2500,3,3,2,2,2,2,0,2011,30691.039
835,1,3,no,República de Corea,1,5,Argentina,TRUE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,Argentina,1,,1,0,1,0,0,0,2,5,12000,1,7,2,2,2,2,0,2011,13322.81
836,1,3,yes,Dinamarca,2,2,Portugal,FALSE,4,4,3,2,2,4,5,3,4,4,4,4,4,2,4,1,Portugal,2,FL_242,1,1,1,0,1,1,1,1,.,3,7,2,2,2,2,2,2011,20946.4
837,1,3,yes,Argentina,1,5,India,TRUE,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,India,2,,1,1,1,1,1,1,1,1,10000INR,2,7,2,2,1,2,3,2011,3755.1399
838,1,3,no,South Africa,1,6,UK,TRUE,4,4,4,2,3,4,4,3,4,4,4,2,4,2,3,,UK,2,,1,0,0,0,0,0,2,3,1300,3,3,2,2,2,2,0,2011,30691.039
839,1,5,no,Sudáfrica,1,5,Argentina,FALSE,4,4,4,4,3,4,3,3,4,3,4,4,4,3,4,,Argentina,1,,1,0,0,0,0,0,2,4,15000,1,5,2,2,1,2,0,2011,13322.81
840,1,5,no,Argentina,1,6,UK,TRUE,4,4,4,3,4,4,5,3,4,4,4,4,4,3,4,,UK,3,,0,1,1,1,1,1,4,1,1500,4,7,2,2,2,2,3,2011,30691.039
841,1,3,no,África Do Sul,2,3,Portugal,TRUE,2,2,2,2,2,3,2,3,4,3,2,1,2,2,2,,Portugal,2,FL_243,1,1,1,1,1,1,1,1,850€,3,7,2,1,1,2,3,2011,20946.4
842,1,3,no,영국과 북 아일랜드의 영국,2,4,South Korea,TRUE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,South Korea,2,,1,1,1,1,1,1,2,3,8200000,2,7,2,2,2,2,3,2011,29271.51
843,1,5,no,República da Coreia,2,3,Portugal,TRUE,4,4,3,2,3,3,2,4,4,4,4,4,4,3,4,,Portugal,2,FL_238,1,1,1,0,1,0,2,1,550,3,7,2,2,1,2,1,2011,20946.4
844,1,5,yes,인도,1,2,South Korea,TRUE,4,4,4,2,3,4,2,4,3,3,4,4,4,4,4,1,South Korea,3,,1,0,0,0,0,0,1,1,0,4,7,2,2,1,2,0,2011,29271.51
845,1,3,yes,Reino Unido da Grã-Bretanha e Irlanda do Norte,2,4,Portugal,FALSE,4,4,3,3,3,3,3,4,4,2,3,3,3,2,4,1,Portugal,2,FL_239,0,0,0,0,0,0,1,1,1100,3,7,2,2,1,2,0,2011,20946.4
846,1,5,yes,Portugal,1,3,India,FALSE,3,4,5,3,2,4,4,2,2,3,2,3,4,3,2,1,India,1,,1,1,1,1,0,1,1,1,25000,1,7,1,1,2,2,3,2011,3755.1399
847,1,5,yes,포르투갈,1,4,South Korea,TRUE,3,3,3,2,3,4,4,4,3,3,4,4,4,3,3,1,South Korea,3,,0,0,0,0,0,0,1,1,0,3,7,2,2,2,2,0,2011,29271.51
848,1,3,no,Índia,2,3,Portugal,TRUE,4,4,2,2,4,4,2,4,4,4,4,4,4,3,4,,Portugal,3,FL_237,1,1,1,1,1,1,1,1,300,3,7,2,2,1,2,3,2011,20946.4
849,1,5,yes,Argentina,2,5,Portugal,TRUE,4,4,4,1,4,4,4,4,4,4,4,4,4,3,4,1,Portugal,2,FL_241,1,1,1,1,1,1,2,2,700,3,7,2,2,1,2,3,2011,20946.4
850,1,3,no,Portugal,2,5,Portugal,FALSE,4,4,4,1,3,4,2,3,4,4,4,4,4,3,4,,Portugal,3,FL_240,1,1,1,1,1,1,2,2,0,3,7,2,2,1,2,3,2011,20946.4
851,1,5,no,Reino Unido da Grã-Bretanha e Irlanda do Norte,1,3,Portugal,TRUE,4,4,4,2,2,4,2,4,4,4,4,4,4,3,4,,Portugal,3,FL_239,1,1,1,1,0,1,1,1,750,3,1,2,2,1,2,3,2011,20946.4
